,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
6,Patson Daka,14,Leicester,24, FW  ,9(7),702,0.4,0.2,0.7,0,0.4,0.2,0.1,0,6.56
7,Rayan Aït-Nouri,161,Wolves,21," D(L),M(L)  ",7(6),746,1.8,0.5,0.8,0.2,0.8,0.2,0,1,6.56
8,Boubakary Soumaré,14,Leicester,23, DMC  ,12(2),845,2.4,1.1,1,0,1.1,0.6,0.1,0,6.56
9,Harvey Elliott,26,Liverpool,19, AM(CR)  ,12(5),1017,0.8,0.2,0.6,0,0.3,0.9,0.1,0,6.56
0,Brenden Aaronson,19,Leeds,22, AM(CLR)  ,17,1432,1.5,0.1,0.5,0.1,0.3,0.9,0.1,0,6.56
1,Maximilian Kilman,161,Wolves,25, D(C)  ,18,1620,1,0.8,0.4,0.6,4.3,0.4,0.9,0,6.55
2,Pervis Estupiñán,211,Brighton,24, D(L)  ,11(3),905,1.4,1.2,1,0,1.1,0.3,0.2,0,6.55
3,Nathan Collins,161,Wolves,21, D(CR)  ,15,1293,1.3,1,0.8,0.1,3.9,0.5,1.1,0,6.55
4,Jorginho,15,Chelsea,31, DMC  ,13(2),1068,1.9,1,0.7,0,0.3,1.3,0.1,0,6.55
5,Lewis Cook,183,Bournemouth,25, M(CL)  ,16(2),1453,1.9,0.9,0.7,0,1.1,0.8,0.5,0,6.55
6,Jonny,161,Wolves,28," D(CLR),M(LR)  ",11(2),1007,2.1,1,0.7,0.1,1.4,1,0.2,0,6.54
7,Nathan Patterson,31,Everton,21," D(R),M(R)  ",11(2),988,3,0.8,0.6,0.3,2.1,0.7,0.2,0,6.54
8,Dean Henderson,174,Nottingham Forest,25, GK  ,17,1530,0,0,0.1,0,1,0,0,0,6.54
9,Scott McTominay,32,Man Utd,26," D(C),DMC  ",6(6),637,1.3,0.8,1.5,0,2.1,0.3,0.2,0,6.54
0,Davinson Sánchez,30,Tottenham,26, D(C)  ,6(5),553,1.4,0.9,0.5,0.2,2.2,0,0.5,0,6.53
1,Ruben Loftus-Cheek,15,Chelsea,26, M(CLR)  ,12(2),958,1.1,0.6,0.4,0,1.1,0.6,0.1,1,6.53
2,Jordan Henderson,26,Liverpool,32," D(C),M(CLR)  ",9(5),816,0.8,0.6,0.2,0.1,0.3,0.4,0.2,0,6.53
3,Richarlison,30,Tottenham,25," AM(CLR),FW  ",5(5),438,0.9,0.4,0.6,0,0.5,0.6,0,0,6.52
4,Jeffrey Schlupp,162,Crystal Palace,30," D(L),M(CLR)  ",15(2),1330,2.2,0.9,1.8,0.1,1.1,0.5,0.3,0,6.52
5,Marc Guéhi,162,Crystal Palace,22, D(C)  ,16,1440,1.4,1.2,0.8,0.6,3.3,0.4,0.9,1,6.52
6,Mohamed Elyounoussi,18,Southampton,28," AM(CLR),FW  ",15(2),1246,1.7,0.6,1.3,0,1.2,0.7,0.1,0,6.52
7,Gianluca Scamacca,29,West Ham,24, FW  ,11(4),915,0.6,0.3,1.1,0,0.3,0,0,0,6.52
8,Robert Sánchez,211,Brighton,25, GK  ,17,1530,0,0.2,0.1,0,0.5,0,0,0,6.52
9,Josh Dasilva,189,Brentford,24, M(C)  ,8(10),778,0.7,0.1,0.3,0,0.2,0.1,0.2,0,6.51
0,Joel Ward,162,Crystal Palace,33," D(CLR),DMC,M(R)  ",13(2),1224,1.5,0.8,1.2,0.3,2.9,0.1,0.8,0,6.51
1,Julián Álvarez,167,Man City,22," AM(R),FW  ",3(10),361,0.6,0,0.5,0,0.1,0.5,0,0,6.50
2,Moussa Djenepo,18,Southampton,24, M(LR)  ,6(5),570,1.5,1,0.5,0,0.5,1,0.2,0,6.50
3,Yoane Wissa,189,Brentford,26," AM(L),FW  ",7(11),751,0.7,0.2,0.4,0.1,0.4,0.1,0,0,6.50
4,Joe Worrall,174,Nottingham Forest,25, D(C)  ,10(4),983,1.7,1,1.1,0.4,3.1,0.3,0.7,0,6.50
5,Ryan Yates,174,Nottingham Forest,25, DMC  ,14(2),1304,1.6,0.4,2.3,0.1,2,0.3,0.5,0,6.50
6,Séamus Coleman,31,Everton,34," D(CR),M(R)  ",7(3),655,1.4,0.9,0.4,0.1,1.6,0.3,0.4,0,6.49
7,Neeskens Kebano,170,Fulham,30, AM(CLR)  ,9(3),719,1,0.1,0.7,0,0.3,0.5,0,0,6.49
8,Adam Webster,211,Brighton,28, D(C)  ,13,1170,0.8,1,0.4,0.1,2.6,0.2,0.6,1,6.49
9,Matty Cash,24,Aston Villa,25," D(R),M(CLR)  ",13(2),1146,2,1.3,0.8,0.3,1.2,0.4,0.2,0,6.49
0,Jefferson Lerma,183,Bournemouth,28," D(R),DMC  ",18,1614,1.3,0.9,1.1,0.1,2.6,0.3,0.3,1,6.49
1,Danny Ward,14,Leicester,29, GK  ,18,1620,0.1,0,0,0,0.9,0,0,0,6.49
2,Robin Koch,19,Leeds,26," D(C),DMC  ",17,1486,1.5,1.3,1.2,0.5,3.6,0.7,0.6,1,6.49
3,Conor Coady,31,Everton,29," D(CR),DMC  ",16,1431,0.6,0.6,0.4,0.3,4.3,0,0.6,0,6.48
4,Konstantinos Tsimikas,26,Liverpool,26, D(L)  ,5(7),439,0.8,0.4,0.3,0.1,0.7,0.3,0.1,0,6.48
5,Cheikhou Kouyaté,174,Nottingham Forest,33," D(CR),DMC  ",9(3),709,1.8,0.4,1.3,0,1.6,0.3,0.1,0,6.48
6,Vladimír Coufal,29,West Ham,30," D(R),M(R)  ",10(2),932,1.9,1.7,0.9,0,1.8,0.5,0.3,0,6.47
7,Adam Lallana,211,Brighton,34, M(CLR)  ,10(4),635,0.6,0.1,0.1,0,0.1,0.4,0,0,6.47
8,Gavin Bazunu,18,Southampton,20, GK  ,18,1620,0.1,0.1,0.1,0,1.4,0,0,0,6.47
