,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
0,Erling Haaland,167,Man City,22, FW  ,15(1),1311,21,3,4.1,1,0.3,0.7,0.3,0.9,1.5,7.79
1,Kieran Trippier,23,Newcastle,32," D(LR),M(R)  ",18,1597,1,4,0.4,2.6,0.3,0.7,0.2,0.1,0.6,7.70
2,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",16(1),1405,3,9,2.6,3.5,0.8,0.8,0.2,1.2,1.5,7.68
3,Gabriel Jesus,13,Arsenal,25," AM(LR),FW  ",14,1226,5,5,3.6,1.6,1.9,2.7,0.6,2.9,3.9,7.59
4,Harry Kane,30,Tottenham,29," AM(C),FW  ",18,1608,15,1,3.6,1.7,0.8,1.4,0.3,2,1.7,7.55
5,Martin Ødegaard,13,Arsenal,24, AM(CR)  ,16,1350,7,5,2.4,2.3,1.3,0.7,0,1.4,1.1,7.49
6,Aleksandar Mitrovic,170,Fulham,28, FW  ,15,1286,11,1,4.6,0.9,1.1,1.6,0.7,2.2,3.1,7.45
7,Rodri,167,Man City,26," D(C),DMC  ",16,1391,1,3,1.6,1.1,0.4,0.6,0.1,0.5,0.6,7.39
8,James Maddison,14,Leicester,26, AM(CLR)  ,13,1100,7,4,3,2.4,0.5,2.2,0.2,1.1,1.7,7.39
9,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",17,1449,6,6,1.9,2.2,1.2,1.3,0.2,1.4,2,7.37
0,Bruno Guimarães,23,Newcastle,25, DMC  ,15,1269,3,3,0.9,1.1,1.3,2.8,0,2.2,1.2,7.36
1,Ivan Toney,189,Brentford,26, FW  ,16,1440,12,3,2.9,1.1,0.3,2,0.9,1.4,3.3,7.35
2,Gabriel Martinelli,13,Arsenal,21," AM(L),FW  ",17,1455,7,2,2.5,1.6,1.8,1.3,0.3,2.2,2.6,7.34
3,Rodrigo Bentancur,30,Tottenham,25, M(C)  ,13(1),1186,4,2,0.9,0.6,1.3,0.4,0,1,1.1,7.32
4,Joelinton,23,Newcastle,26," AM(CLR),FW  ",15(1),1330,2,1,1.6,1.1,1.3,0.9,0.1,1.9,2.9,7.29
5,Casemiro,32,Man Utd,30, DMC  ,10(4),979,2,2,1.1,0.9,0.2,1.1,0,0.6,0.8,7.25
6,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,16,1440,2,3,2.1,2.8,0.6,1.3,0.6,1.2,1.1,7.25
7,Roberto Firmino,26,Liverpool,31," M(CLR),FW  ",11(2),937,7,3,2.5,1.3,0.5,0.4,0.2,1.5,2,7.20
8,Thomas Partey,13,Arsenal,29," D(R),M(CR)  ",14,1215,2,0,1.1,0.9,0.6,0.6,0,0.6,1.1,7.20
9,Phil Foden,167,Man City,22," AM(CLR),FW  ",12(5),991,7,3,1.6,1.3,0.6,0.9,0.1,1.2,1.2,7.17
0,Miguel Almirón,23,Newcastle,28," AM(CLR),FW  ",18,1499,9,1,2.2,0.8,1,1,0.4,0.7,1.6,7.16
1,Fabian Schär,23,Newcastle,31, D(C)  ,17,1515,1,0,1.4,0.6,0.1,0.8,0.2,0.1,0.5,7.15
2,Pierre-Emile Højbjerg,30,Tottenham,27, M(C)  ,17,1513,4,2,1.1,0.9,0.5,0.8,0,1.6,1.3,7.13
3,Son Heung-Min,30,Tottenham,30," M(CLR),FW  ",15(1),1305,4,2,2.7,1.9,0.8,1.3,0.5,1.5,2.5,7.10
4,Jack Grealish,167,Man City,27," AM(CL),FW  ",8(3),741,1,3,1.3,1.7,1.4,2.5,0.1,0.9,1.3,7.10
5,Bernd Leno,170,Fulham,30, GK  ,16,1440,0,0,0,0.1,0,0.1,0,0,0,7.10
6,Solly March,211,Brighton,28, M(CLR)  ,17,1457,2,3,1.9,1.3,1.4,1.5,0.4,0.9,2.1,7.09
7,Bernardo Silva,167,Man City,28," M(CLR),FW  ",14(2),1215,2,5,0.9,1.4,1.1,0.6,0.1,1.3,1.1,7.06
8,João Cancelo,167,Man City,28," D(LR),M(R)  ",15(1),1189,2,1,1.1,0.7,1.6,1,0.3,0.8,1,7.05
9,João Palhinha,170,Fulham,27, DMC  ,17,1508,3,0,1.2,0,0.2,1.4,0,0.6,1.1,7.05
0,Granit Xhaka,13,Arsenal,30," D(L),M(C)  ",17,1439,3,4,1.2,1.5,0.4,1.1,0.1,0.9,0.9,7.02
1,Dejan Kulusevski,30,Tottenham,22," AM(CR),FW  ",8(2),705,1,5,1.4,1.9,1.8,0.7,0.1,1.3,2.6,7.01
2,Ilkay Gündogan,167,Man City,32, M(C)  ,12(3),1077,2,2,1.8,1.7,0.3,0.5,0.2,0.7,0.9,7.01
3,Mohamed Salah,26,Liverpool,30," AM(CLR),FW  ",17,1509,7,4,3.4,2.1,1.1,0.7,0.7,2.6,2.8,7.01
