,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
9,Zanka,189,Brentford,8(3),726,0,0,1,0,0.3,80.8,0.9,0,6.39
0,Gonçalo Guedes,161,Wolves,8(5),710,1,1,1,0,1.5,75,0.5,0,6.38
1,Harry Toffolo,174,Nottingham Forest,6(4),611,0,0,0,0,0.3,66.7,1.1,0,6.38
2,Eddie Nketiah,13,Arsenal,3(12),412,2,0,1,0,1.1,82.4,0.3,0,6.37
3,Nélson Semedo,161,Wolves,11(5),924,0,1,4,1,0.1,81,0.7,0,6.37
4,Steve Cook,174,Nottingham Forest,11(1),959,0,0,4,0,0.3,80.7,2.3,0,6.37
5,Mateo Kovacic,15,Chelsea,6(7),753,0,1,3,0,0.7,84.1,0.3,0,6.37
6,Michail Antonio,29,West Ham,7(10),741,2,1,1,0,1.1,54.3,1.2,0,6.36
7,Adam Smith,183,Bournemouth,18,1549,0,1,5,0,0.2,79,0.7,0,6.36
8,Wilfred Ndidi,14,Leicester,9(4),786,0,0,3,0,0.4,87.7,0.6,0,6.36
9,Jordan Zemura,183,Bournemouth,11(2),948,0,1,1,0,0,69.4,0.3,0,6.36
0,Luke Ayling,19,Leeds,3(7),339,0,1,1,0,0.3,74.4,1,0,6.36
1,Tyrick Mitchell,162,Crystal Palace,13(2),1014,0,2,2,1,0.1,71.6,0.7,0,6.35
2,Marcos Senesi,183,Bournemouth,14(1),1211,0,0,2,0,0.1,80.9,0.6,0,6.34
3,Thilo Kehrer,29,West Ham,15,1350,0,0,4,0,0.5,84.9,1.3,0,6.33
4,Lewis O'Brien,174,Nottingham Forest,6(6),561,1,0,2,0,0.6,80,0.2,0,6.33
5,Jaidon Anthony,183,Bournemouth,3(10),480,2,0,1,0,0.8,75.9,0.5,0,6.32
6,Philippe Coutinho,24,Aston Villa,6(9),632,0,0,3,0,1.1,81.3,0.2,0,6.32
7,Jamie Vardy,14,Leicester,9(9),961,1,4,1,0,0.8,57.4,0.9,0,6.32
8,Frank Onyeka,189,Brentford,4(8),439,0,1,0,0,0.3,75.6,0.4,0,6.32
9,Taiwo Awoniyi,174,Nottingham Forest,9(7),733,4,0,0,0,1.2,74.2,0.4,0,6.31
0,Samuel Edozie,18,Southampton,2(9),337,0,0,0,0,0.5,72.7,0.4,0,6.31
1,Scott McKenna,174,Nottingham Forest,14,1260,0,0,4,0,0.1,81.2,1.7,0,6.31
2,Chris Wood,23,Newcastle,4(13),439,2,0,0,0,0.5,62.3,1.4,0,6.31
3,Shandon Baptiste,189,Brentford,4(8),428,0,0,1,0,0.2,84.3,0.3,0,6.31
4,Leander Dendoncker,24,Aston Villa,3(7),325,0,0,0,0,0.1,88.5,0.3,0,6.30
5,Brennan Johnson,174,Nottingham Forest,16(2),1445,2,1,3,0,1.4,61.2,0.6,0,6.30
6,Luka Milivojevic,162,Crystal Palace,2(8),280,0,0,0,0,0.5,83.6,0.5,0,6.30
7,Adam Armstrong,18,Southampton,11(6),912,1,1,0,0,0.9,77.1,0.2,0,6.30
8,Christian Pulisic,15,Chelsea,6(10),606,1,1,1,0,0.9,83.9,0.3,0,6.29
9,Yves Bissouma,30,Tottenham,8(8),772,0,0,5,0,0.3,90.4,0.3,0,6.29
0,Anthony Elanga,32,Man Utd,5(8),397,0,1,0,0,0.6,76.3,0.5,0,6.29
1,Jacob Murphy,23,Newcastle,5(13),521,1,1,0,0,0.7,66.7,0.1,0,6.29
2,Sékou Mara,18,Southampton,3(9),286,0,1,0,0,1.1,70.2,1,0,6.28
3,Orel Mangala,174,Nottingham Forest,6(4),467,0,0,1,0,0.6,83.2,0.5,0,6.27
4,Kieran Tierney,13,Arsenal,4(10),450,0,0,0,0,0.4,77,0.1,0,6.27
5,Neal Maupay,31,Everton,7(6),683,1,0,2,0,1.2,77.1,0.5,0,6.27
6,Nathaniel Clyne,162,Crystal Palace,10(1),829,0,0,1,0,0,83,0.4,0,6.27
7,Armando Broja,15,Chelsea,2(10),290,1,0,0,0,0.5,62.3,0.8,0,6.26
8,Tom Cairney,170,Fulham,1(17),405,0,0,1,0,0.6,88.5,0.2,0,6.25
9,Stuart Armstrong,18,Southampton,7(10),763,1,0,3,0,0.8,81.6,0.3,0,6.25
0,Mark Travers,183,Bournemouth,10(1),945,0,0,0,0,0,71,0.3,0,6.24
1,Dan James,170,Fulham,3(7),344,1,0,0,0,1,74,0.1,0,6.23
2,Jesse Lingard,174,Nottingham Forest,11(3),867,0,0,1,0,0.7,81,0.1,0,6.20
3,Emmanuel Dennis,174,Nottingham Forest,3(7),370,1,1,2,0,0.9,71.7,0.6,0,6.20
4,Hwang Hee-Chan,161,Wolves,6(8),531,0,1,1,0,0.4,76.9,0.1,0,6.19
5,Tariq Lamptey,211,Brighton,1(13),297,0,0,1,0,0.1,86.5,0.1,0,6.18
6,Ibrahima Diallo,18,Southampton,7(3),498,0,0,1,0,0.4,80.1,1,0,6.16
7,Kelechi Iheanacho,14,Leicester,1(12),267,1,1,0,0,0.9,80,0,0,6.16
8,Jean-Philippe Mateta,162,Crystal Palace,2(11),321,1,0,2,0,1,69.4,0.8,0,6.16
9,Joe Gelhardt,19,Leeds,1(13),189,0,1,1,0,0.7,73.2,0.4,0,6.13
0,Lyanco,18,Southampton,5(5),496,0,0,2,0,0.5,77,0.6,0,6.13
1,Mateusz Klich,19,Leeds,0(14),266,0,0,2,0,0.3,75.7,0.1,0,6.12
2,Sam Surridge,174,Nottingham Forest,1(10),187,0,0,1,0,0.4,50,0.7,0,6.12
3,Patrick Bamford,19,Leeds,4(6),429,0,1,0,0,1.7,74.7,0.6,0,6.11
4,Abdoulaye Doucouré,31,Everton,2(8),223,0,0,1,0,0.3,80.8,0.4,0,6.06
5,Will Hughes,162,Crystal Palace,0(11),109,0,0,0,0,0.2,88.5,0,0,6.05
6,Carlos Vinícius,170,Fulham,3(7),330,0,0,1,0,0.5,58.6,0.4,0,6.05
