,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
89,Fred,32,Man Utd,28,M(C),23,2189,0,1.2,57.5,87.5,0.5,3.8,0.0,6.87,6,0,8,0,1.4,0.3,0,1.4,1.2,0.0,0.9,1.6,2.1,1.3,1.4,0.0,0.9,2.6,0.3,0
90,Dele Alli,30,Tottenham,25,"M(CL),FW",21,1854,4,0.9,32.4,76.3,0.0,0.7,0.2,6.87,4,8,2,0,1.7,0.8,1,1.2,1.3,0.2,1.6,2.0,1.4,0.7,0.5,0.0,0.6,1.0,0.1,0
91,Dominic Calvert-Lewin,31,Everton,24,"AM(L),FW",30,2660,1,0.4,15.4,64.0,0.1,0.3,0.0,6.87,6,13,9,0,2.4,5.0,2,0.4,1.2,0.4,0.6,2.7,0.2,0.2,1.6,0.0,1.0,0.3,0.1,0
92,John Fleck,163,Sheff Utd,30,DMC,28,2518,2,1.3,33.3,80.3,1.1,1.3,0.1,6.86,2,5,8,0,1.0,0.5,2,1.5,0.7,0.0,0.6,1.5,1.2,0.8,0.8,0.0,0.7,1.4,0.1,0
93,Phil Foden,167,Man City,21,"AM(CLR),FW",9,893,2,0.8,21.5,88.5,0.3,0.7,0.0,6.86,14,5,0,0,1.5,0.4,2,1.1,0.6,0.0,0.7,0.8,0.6,0.3,0.5,0.0,0.1,0.6,0.0,0
94,Matt Targett,24,Aston Villa,26,"D(L),M(L)",27,2298,2,1.0,33.8,72.6,0.8,1.8,0.1,6.86,1,1,4,0,0.3,1.3,1,0.3,0.6,0.0,0.5,0.6,1.9,2.0,1.0,0.1,2.4,1.1,0.3,0
95,Fernandinho,167,Man City,36,"D(CR),DMC",26,2399,1,0.3,74.1,89.8,0.0,4.4,0.0,6.86,4,0,7,2,0.6,2.5,0,0.4,0.6,0.0,0.2,0.5,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1
96,Luke Shaw,32,Man Utd,26,"D(CL),M(L)",20,1764,0,0.8,47.6,87.4,0.4,0.5,0.0,6.85,4,0,7,0,0.5,1.3,0,0.9,0.4,0.2,0.1,0.6,1.4,1.0,1.0,0.2,2.1,0.6,0.3,0
97,Jorginho,15,Chelsea,29,DMC,27,2384,2,0.7,72.8,88.4,0.0,4.3,0.2,6.85,4,4,10,0,0.4,0.5,2,0.4,1.0,0.0,0.7,0.6,2.1,2.1,0.9,0.0,0.8,1.8,0.2,0
98,Ross Barkley,15,Chelsea,27,M(CLR),13,1104,4,1.1,29.4,89.0,0.1,1.9,0.2,6.84,8,1,0,0,1.9,0.6,2,1.3,0.7,0.0,1.6,1.2,0.8,0.3,0.4,0.0,0.3,0.6,0.1,0
99,Dani Ceballos,13,Arsenal,25,M(CL),18,1699,2,1.2,52.1,87.9,0.4,3.2,0.1,6.84,6,0,1,0,0.5,0.4,1,1.1,1.5,0.0,1.3,1.0,1.9,1.3,0.8,0.0,0.5,1.8,0.1,0
100,Michael Keane,31,Everton,28,D(CR),28,2586,0,0.2,46.7,82.8,0.0,2.9,0.0,6.83,3,2,3,0,0.5,4.2,3,0.0,0.3,0.0,0.1,0.2,1.0,1.4,0.6,0.6,4.8,0.3,0.9,1
101,Pierre-Emile Højbjerg,18,Southampton,26,M(C),30,2751,1,0.9,55.2,78.1,0.3,3.2,0.1,6.83,3,0,5,0,1.4,1.7,1,1.2,1.1,0.0,0.8,1.9,2.4,1.4,1.4,0.1,1.5,1.6,0.2,0
102,Jan Bednarek,18,Southampton,25,D(C),34,3058,1,0.1,45.2,75.3,0.0,2.5,0.0,6.83,0,1,4,0,0.2,3.7,0,0.1,0.4,0.0,0.0,0.3,1.9,2.3,1.0,0.6,5.7,0.9,0.7,1
