,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
9,Nathan Redmond,18,Southampton,27,", AM(CLR),FW",32,2771,4,1.2,31.9,73.7,0.2,1.2,0,6.96,0
0,Felipe Anderson,29,West Ham,28,", M(CLR),FW",20,1508,4,1,35.8,78.8,0.4,1.7,0.1,6.96,5
1,Mateo Kovacic,15,Chelsea,27,", M(CL)",23,2073,3,0.9,60.3,89.7,0,3,0.1,6.94,8
2,John Egan,163,Sheff Utd,28,", D(C)",36,3189,0,0,35.8,80.2,0,3.1,0,6.93,0
3,Jack O'Connell,163,Sheff Utd,27,", D(C)",32,2915,1,0.5,47.2,73.5,0.3,3.8,0,6.93,1
4,Jordan Ayew,162,Crystal Palace,30,", AM(CLR),FW",37,3162,2,0.8,22,81.3,0,0.5,0.1,6.93,0
5,Alexandre Lacazette,13,Arsenal,30,", M(LR),FW",22,1878,4,0.8,16.8,76.4,0.2,0.4,0,6.92,8
6,Djibril Sidibé,31,Everton,29,", D(CLR),M(R)",18,1851,4,0.8,37.9,78.6,0.7,2.2,0,6.92,7
7,Scott McTominay,32,Man Utd,24,", D(C),DMC",20,1772,1,0.6,37.4,80.9,0.1,2.3,0.1,6.92,7
8,Phil Bardsley,184,Burnley,36,", D(LR)",21,1890,1,0.5,31.3,66.1,0.3,2.3,0.1,6.92,0
9,Mason Mount,15,Chelsea,22,", M(CLR)",32,2875,5,1.4,33.5,85.7,0.9,0.7,0.1,6.91,5
0,Kurt Zouma,15,Chelsea,26,", D(CR)",25,2344,0,0,74.3,88.5,0,5,0,6.91,3
1,Etienne Capoue,27,Watford,33,", D(C),M(CL)",30,2632,3,0.7,47.8,81.3,0.3,3.7,0.1,6.91,0
2,Tammy Abraham,15,Chelsea,24,", FW",25,2221,3,0.6,12,66.8,0.1,0.2,0,6.91,9
