,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
108,Trézéguet,24,Aston Villa,29, AM(LR)  ,12(9),1166,1,0.6,13.7,75.7,0.2,0.6,0,6.83,2,0,0,1.7,1.3,1,0.8,0.9,0.2,0.6,1.3,1.6,0.9,1.9,0,0.6,1.5,0,0
109,Timothy Castagne,14,Leicester,27," D(CLR),M(LR)  ",27,2346,3,0.8,49,84.3,0.3,0.9,0,6.82,2,1,0,0.3,1.6,2,0.4,0.5,0,0.4,0.9,1.9,1.1,0.7,0.2,1.9,0.7,0.2,0
110,Pascal Groß,211,Brighton,32," D(R),M(CR),FW  ",27(7),2482,8,2.1,41.9,81.6,2,2.7,0,6.82,3,3,0,0.9,0.6,1,0.3,0.5,0.1,0.5,1,1.3,0.7,0.6,0,0.4,0.9,0.1,0
111,Fabinho,26,Liverpool,30," D(CR),DMC  ",28(2),2565,0,0.1,70.3,90.3,0,3.3,0,6.82,0,6,0,0.3,1.8,0,0.2,0.9,0,0.2,0.6,1.9,1.5,1,0.5,2.2,0.9,0.3,0
112,Stuart Armstrong,18,Southampton,31, AM(CLR)  ,32(1),2774,5,1.1,37.5,80.7,0.2,1,0.1,6.82,4,3,0,1.7,0.2,2,2.1,1.1,0.1,2.1,2.3,1.8,0.7,1,0.1,0.6,1.5,0,0
113,Jordan Henderson,26,Liverpool,33," D(C),M(CLR)  ",20(1),1708,1,0.7,86.4,87.3,0.2,4,0.1,6.82,1,0,0,0.7,0.5,0,0.4,0.5,0,0.2,0.3,1.1,1.6,0.4,0.6,1.2,0.8,0,0
114,Aaron Cresswell,29,West Ham,33," D(CL),M(L)  ",36,3172,8,1.6,45.9,78.9,1.6,3.3,0,6.81,0,3,0,0.5,1,2,0.1,0.5,0,0.3,0.4,0.9,0.9,0.4,0.1,2,0.4,0.4,0
115,Chris Wood,184,Burnley,31, FW  ,32(1),2750,3,0.7,19.8,65.1,0,0.1,0,6.81,12,0,0,2.1,4.7,1,0.2,0.7,0.7,1.3,2.4,0.4,0,1.2,0,0.6,0.4,0.1,0
116,Eberechi Eze,162,Crystal Palace,25, AM(CLR)  ,29(5),2565,6,1.3,32,84.2,0.7,0.7,0,6.81,4,3,0,1.1,0.4,4,1.9,2.1,0,1.1,1.7,0.8,0.7,0.5,0,0.2,0.6,0.1,0
117,Rúben Neves,161,Wolves,26, DMC  ,31(5),2680,1,0.9,54.9,84.4,0.1,5.3,0,6.81,5,8,0,1.9,0.7,1,0.3,0.5,0,0.4,0.7,2.4,1.8,1.3,0.1,1.1,1.4,0.3,0
118,Fernandinho,167,Man City,38," D(CR),DMC  ",12(9),1185,2,0.7,48.3,87.2,0,2.2,0,6.81,0,6,0,0.7,1.4,0,0.5,0.5,0,0.2,0.3,1.5,1.1,1,0.1,0.8,1.1,0.1,0
119,Timo Werner,15,Chelsea,27," AM(CLR),FW  ",29(6),2608,8,1,22.3,78.8,0.3,0.2,0,6.81,6,2,0,2.3,0.3,1,0.8,0.9,0.8,0.8,2.5,0.6,0.2,0.8,0,0.2,1,0,0
120,Pascal Struijk,19,Leeds,24," D(CL),DMC  ",22(5),2074,0,0.1,48,86,0,2.3,0,6.81,1,3,0,0.5,1.7,0,0.1,0.3,0,0.3,0.4,1.8,1.7,1,0.2,3.1,0.4,0.8,0
