,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
220,Mohamed Diamé,23,Newcastle,34,M(CLR),24,2166,0,0.1,25.3,77.2,0,1.3,0,6.57,5,0,3,0,0.7,1.2,0,0.6,0.7,0,1.3,1.1,2.7,1,1.2,0,1.2,1.3,0.3,0
221,Kiko Femenía,27,Watford,30,"D(LR),M(R)",22,2046,1,0.4,31.9,83.1,0.5,1.1,0,6.55,7,1,1,0,0.2,0.4,0,0.4,0.5,0.1,0.4,0.7,1.7,1.2,0.4,0.2,2.2,0.9,0.2,0
222,Harry Winks,30,Tottenham,25,DMC,17,1592,0,0.3,53.4,91.8,0,2.2,0,6.55,9,1,4,0,0.3,0.5,1,0.7,0.6,0.1,0.8,0.6,0.8,0.8,0.6,0,0.7,1,0.1,0
223,Jean Michael Seri,170,Fulham,30,M(C),27,2252,2,1.8,49.8,87,1.2,3.1,0,6.55,5,1,6,0,0.6,0.4,0,0.5,0.7,0,0.8,1,1.3,1,1,0,0.4,1,0.3,0
224,Mattéo Guendouzi,13,Arsenal,22,M(C),23,2144,0,0.5,48.4,87.7,0,2.4,0.2,6.55,10,0,9,0,0.5,0.5,0,0.7,1.9,0,0.9,0.9,1.3,0.9,0.7,0.1,0.7,0.9,0.2,0
225,Lee Peltier,188,Cardiff,34,"D(CLR),DMC,M(R)",17,1543,0,0.1,17.1,60.2,0.2,1.1,0,6.54,3,0,4,0,0.1,1.5,0,0.2,0.3,0,0.2,0.4,2,0.9,0.8,0.2,2.7,0.6,0.6,0
226,Josh Murphy,188,Cardiff,26,"AM(LR),FW",22,1826,2,0.6,10.6,60.4,0.5,0.4,0.1,6.54,7,3,2,0,1.6,0.4,1,1.3,1.9,0.3,1.3,1.5,0.9,0.4,0.5,0,0.3,0.7,0,0
227,Kasper Schmeichel,14,Leicester,34,GK,38,3420,0,0,29.4,65.5,0,9.2,0,6.54,0,0,3,0,0,0.3,0,0,0.1,0,0,0,0,0.1,0,0,0.8,0,0,0
228,Kenedy,23,Newcastle,25,"D(L),M(LR)",14,1345,1,0.4,18.5,72.3,0.4,0.7,0,6.53,11,1,1,0,1.2,0.3,1,1.2,0.9,0.2,1.6,1.7,1.2,1.3,0.8,0,0.8,0.7,0,0
229,Jack Stephens,18,Southampton,27,D(CR),19,1699,0,0.2,32,75,0,2.4,0,6.52,5,1,4,0,0.3,2.3,1,0.2,0.3,0,0.2,0.4,1,1.5,0.5,0.3,3.9,0.5,0.5,0
230,Jonas Lössl,166,Huddersfield,32,GK,30,2777,1,0.1,32.5,61.2,0,10.5,0,6.52,1,0,1,0,0,0.5,1,0,0.1,0,0,0,0,0.1,0,0,1,0,0,0
231,David de Gea,32,Man Utd,30,GK,38,3420,0,0,24.9,60,0,7.9,0,6.52,0,0,1,0,0,0.1,1,0,0.1,0,0,0,0,0,0,0,0.6,0.1,0,0
232,Alex Pritchard,166,Huddersfield,28,AM(CLR),26,2092,0,1.1,29.9,74.9,0.6,1,0,6.51,4,2,2,0,1.6,0.5,0,1,1.7,0.2,1.7,2.3,1.2,0.6,0.4,0,0.2,0.8,0.1,0
233,Theo Walcott,31,Everton,32,"M(CLR),FW",24,2124,2,0.6,15.6,72.6,0.3,0.2,0,6.51,13,5,1,0,1.2,0.4,0,0.8,0.7,0.5,1,2.1,0.7,0.6,0.3,0,0.2,0.4,0,0
234,Demarai Gray,14,Leicester,25,"AM(CLR),FW",23,1996,1,0.5,19.3,77.6,0.1,0.6,0,6.51,11,4,2,0,1.4,0.3,0,1.2,0.4,0.1,1.1,1.7,0.7,0.3,0.4,0,0.4,0.3,0,0
235,Stuart Armstrong,18,Southampton,29,AM(CLR),16,1433,2,1,21.1,78.6,0.1,0.7,0,6.50,13,3,2,0,1.1,0.6,0,0.7,0.7,0.1,0.9,1.4,1,0.4,0.7,0,0.4,1.2,0,0
236,Shane Long,18,Southampton,34,"AM(R),FW",12,1271,1,0.5,11.7,64.6,0,0,0,6.50,14,5,3,0,1.2,2.8,1,0.2,0.9,0.5,0.8,2,0.6,0.3,1,0,0.7,0.5,0,0
237,DeAndre Yedlin,23,Newcastle,28,"D(R),M(R)",28,2475,2,1,25.2,71.6,0.6,0.9,0,6.50,1,1,6,1,0.4,1,0,0.3,0.4,0.1,0.3,1.2,1.9,1,1.4,0.2,2.4,0.8,0.3,1
238,Jordan Ayew,162,Crystal Palace,30,"AM(CLR),FW",14,1187,2,0.8,13.3,77.7,0,0.3,0,6.50,6,1,3,0,1.4,1.6,1,0.6,1.3,0.5,1.6,2.4,1.9,0.4,1.6,0,0.3,0.7,0,0
239,Jordan Pickford,31,Everton,27,GK,38,3420,0,0,29.4,55.7,0,7.5,0,6.50,0,0,1,0,0,0.3,2,0,0.1,0,0,0.1,0,0,0,0,0.9,0,0,0
240,Juninho Bacuna,166,Huddersfield,24,"D(R),M(CL)",16,1416,0,0.9,34,75.4,0.4,2.8,0,6.49,5,1,4,0,0.9,0.8,0,1.2,1,0,0.8,1.9,2.2,1.1,1.6,0.1,0.5,1.5,0,0
241,Fernando Llorente,30,Tottenham,36,FW,6,685,4,0.7,11.2,66.4,0,0.2,0,6.49,14,1,2,0,1.2,2.7,0,0.3,0.3,0.3,0.6,1.4,0.2,0.1,0.6,0,0.5,0.1,0.1,1
242,Max Meyer,162,Crystal Palace,26,"M(CLR),FW",15,1415,2,0.8,22.9,83.9,0.1,0.6,0,6.49,14,1,3,0,1.3,0.1,0,0.4,0.6,0,0.7,1,1.1,0.5,0.3,0,0.6,0.3,0,0
243,Luciano Vietto,170,Fulham,27,"AM(CLR),FW",10,987,4,1.1,19.3,78.8,0.4,0.2,0.1,6.48,10,1,1,0,1.2,0.3,0,0.8,1,0,1.3,1.3,0.8,0.3,0.7,0,0.3,0.8,0,0
244,Ademola Lookman,31,Everton,23,"AM(CLR),FW",3,602,2,0.5,12,84.6,0.2,0.1,0,6.47,18,0,0,0,0.6,0.3,0,1.1,1,0.1,1.2,0.9,0.7,0.3,0.4,0,0.1,0.1,0,0
245,David Junior Hoilett,188,Cardiff,31,"M(CLR),FW",23,2143,1,0.8,13.8,71.6,0.6,0.5,0,6.46,9,3,4,0,1.3,0.6,0,0.7,1.2,0.3,1.2,1.6,1.3,1,1.1,0,0.8,1.2,0,0
246,Rui Patrício,161,Wolves,33,GK,37,3330,0,0,20.5,53.6,0,6.9,0,6.45,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0
247,Joe Ralls,188,Cardiff,28,M(CL),22,1960,0,1.2,27.8,69.2,0.9,2.9,0,6.45,6,0,4,1,0.8,1.2,0,0.2,0.4,0,0.5,0.7,1.6,1,1,0,1,0.8,0.2,0
248,Conor Coady,161,Wolves,28,"D(CR),DMC",38,3420,0,0.1,44.4,84.3,0,6.4,0,6.45,0,0,5,0,0,0.9,1,0.1,0.2,0,0.1,0.2,0.8,0.8,0.3,0.5,3.3,0.4,0.7,3
249,Charlie Daniels,183,Bournemouth,35,"D(L),M(L)",17,1586,0,0.5,40,78.7,0.4,1.9,0,6.45,4,1,4,0,0.6,1.4,0,0.6,0.3,0,0.3,0.6,1.2,1,0.3,0.3,2,0.4,0.2,0
250,Pedro Obiang,29,West Ham,29,DMC,12,1121,1,0.3,22.3,80,0.1,2,0,6.44,12,0,0,0,0.6,0.7,0,0.3,0.5,0.1,0.2,0.5,1.7,0.5,0.5,0.1,0.6,1,0.4,0
251,Christian Atsu,23,Newcastle,29,AM(CLR),15,1488,0,0.6,13.7,82.2,0.3,0.4,0,6.44,13,1,2,0,1,0.4,0,0.9,0.9,0.1,1.1,1.7,0.9,0.3,0.5,0,0.5,0.4,0.1,0
