,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,sub
6,Joshua King,183,Bournemouth,29,", AM(CLR),FW",24,2020,0.6,0.3,1.4,0,0.3,0.5,0.1,0,6.76,2
7,Harvey Barnes,14,Leicester,23,", AM(CL)",24,2094,0.4,0.2,0.6,0,0.1,0.5,0.1,0,6.76,12
8,Diogo Jota,161,Wolves,24,", AM(CLR),FW",27,2298,0.8,0.3,1.2,0,0.3,1.1,0,0,6.76,7
9,Wesley,24,Aston Villa,24,", FW",21,1790,0.7,0.2,2,0,1.1,0.2,0.1,0,6.76,0
0,Patrick van Aanholt,162,Crystal Palace,31,", D(L),M(L)",29,2511,1.5,1.6,0.3,0.1,1.5,0.9,0.3,1,6.76,0
1,Fabian Schär,23,Newcastle,29,", D(C)",18,1634,1.8,2.1,1.3,0.3,3.3,1,0.8,0,6.75,4
2,Nathan Aké,183,Bournemouth,26,", D(CL),DMC",29,2505,1.1,1.2,0.3,0.7,5.1,0.3,1,0,6.75,0
3,Andreas Christensen,15,Chelsea,25,", D(C),DMC",21,1754,1.8,1.4,0.8,0.4,2.7,0.3,0.4,0,6.75,0
4,Angelo Ogbonna,29,West Ham,33,", D(C)",31,2787,1.2,0.9,0.7,0.8,4.2,0.5,1,1,6.74,0
5,Mason Greenwood,32,Man Utd,20,", AM(R),FW",12,1313,0.5,0.2,0.4,0,0.2,0.5,0,0,6.73,19
6,Moussa Sissoko,30,Tottenham,32,", M(CR)",28,2455,1.3,0.9,1.5,0.1,1.2,1,0.1,0,6.73,1
7,Federico Fernández,23,Newcastle,32,", D(C)",29,2618,1.3,0.8,0.5,0.3,5.8,0.7,0.9,1,6.73,3
8,Kasper Schmeichel,14,Leicester,34,", GK",38,3420,0,0,0,0,0.3,0,0,0,6.72,0
9,Chris Wood,184,Burnley,29,", FW",29,2446,0.2,0.1,1.1,0,0.6,0.3,0.1,1,6.72,3
0,Martin Dúbravka,23,Newcastle,32,", GK",38,3420,0,0,0,0,0.9,0,0,0,6.72,0
1,Steve Cook,183,Bournemouth,30,", D(C)",28,2430,0.8,1.5,0.6,0.7,5.2,0.4,0.8,0,6.72,1
2,Dean Henderson,163,Sheff Utd,24,", GK",36,3240,0,0,0,0,0.8,0,0,0,6.72,0
3,Isaac Hayden,23,Newcastle,26,", D(C),DMC",26,2226,1.9,1.3,0.9,0,1.1,1,0.2,0,6.72,3
4,Craig Dawson,27,Watford,31,", D(CR)",26,2361,1,1.2,1.1,0.6,3.8,0.5,1.1,0,6.72,3
5,Ismaila Sarr,27,Watford,23,", AM(LR),FW",22,2030,0.4,0.6,0.8,0,0.2,0.6,0,0,6.71,6
6,Yves Bissouma,211,Brighton,25,", M(C)",15,1263,2.2,1,1.4,0,1,1,0.1,0,6.71,7
7,Alex McCarthy,18,Southampton,31,", GK",28,2520,0,0,0,0,0.9,0,0,0,6.71,0
8,Victor Lindelöf,32,Man Utd,27,", D(CR)",35,3124,0.8,0.7,0.6,0.6,3.5,0.1,0.5,1,6.71,0
9,Tanguy Ndombele,30,Tottenham,24,", M(C)",12,1011,1.1,0.7,0.7,0,0.3,0.6,0.1,0,6.71,9
0,Jefferson Lerma,183,Bournemouth,26,", D(R),DMC",31,2709,1.6,1.7,1.3,0,1.5,0.8,0.4,0,6.70,2
1,Ilkay Gündogan,167,Man City,30,", M(C)",21,2017,0.9,1,0.5,0,0.4,1,0.2,0,6.70,10
2,John Lundstram,163,Sheff Utd,27,", DMC",26,2456,1.4,1,0.8,0.1,1.3,1.3,0.1,0,6.70,8
3,Christian Kabasele,27,Watford,30,", D(C)",26,2253,1.4,1.3,0.8,0.8,4.6,0.6,0.9,0,6.70,1
4,Miguel Almirón,23,Newcastle,27,", AM(CLR),FW",35,3034,1.7,0.9,0.8,0,0.4,0.9,0,0,6.70,1
5,Jamaal Lascelles,23,Newcastle,27,", D(C)",24,2079,0.6,1.2,0.9,0.4,4.8,0.2,0.8,0,6.70,0
6,Conor Hourihane,24,Aston Villa,30,", M(C)",18,1539,0.6,0.3,0.5,0,1,0.6,0.1,0,6.69,9
7,Aaron Ramsdale,183,Bournemouth,23,", GK",37,3330,0.1,0,0,0,1.1,0,0,0,6.69,0
8,Mattéo Guendouzi,13,Arsenal,22,", M(C)",19,1748,1.3,1.2,0.7,0,1.4,1.2,0.3,0,6.69,5
9,Gary Cahill,162,Crystal Palace,35,", D(C)",25,2168,0.6,0.7,0.6,0.2,4.4,0.3,1,0,6.69,0
0,Vicente Guaita,162,Crystal Palace,34,", GK",35,3150,0,0,0,0,1.1,0,0,1,6.69,0
1,Leander Dendoncker,161,Wolves,26,", D(C),DMC",32,2795,1.8,1,0.8,0.1,1.6,1,0.3,1,6.68,6
2,Luka Milivojevic,162,Crystal Palace,30,", DMC",28,2514,2,1.4,1.6,0,1.2,1.6,0.2,0,6.67,3
3,Joelinton,23,Newcastle,25,", AM(LR),FW",32,2699,0.9,0.3,0.8,0,0.8,0.6,0.2,0,6.67,6
4,Mark Noble,29,West Ham,34,", M(C)",32,2686,1.6,0.6,0.8,0,0.3,1.3,0.2,0,6.67,1
5,Abdoulaye Doucouré,27,Watford,28,", M(C)",36,3167,1.7,0.8,1.4,0,0.8,1.1,0.2,1,6.67,1
6,Cheikhou Kouyaté,162,Crystal Palace,31,", D(CR),DMC",29,2538,1.9,1.2,0.9,0,1.6,0.6,0.3,0,6.67,6
7,Shane Long,18,Southampton,34,", AM(R),FW",15,1399,0.7,0.2,1.2,0.1,0.6,0.5,0,0,6.67,11
8,Aaron Mooy,211,Brighton,31,", M(CLR)",25,2090,1.2,0.7,0.4,0,0.9,1.1,0.2,0,6.67,6
9,Mat Ryan,211,Brighton,29,", GK",38,3420,0,0.1,0,0,0.6,0.1,0,0,6.67,0
0,Davinson Sánchez,30,Tottenham,25,", D(C)",27,2432,1.5,1.2,0.9,0.3,4.2,0.8,1,0,6.66,2
1,Joel Ward,162,Crystal Palace,31,", D(LR),DMC,M(R)",27,2383,2.4,1.7,0.8,0.2,2.8,0.6,0.2,0,6.66,2
2,Stuart Armstrong,18,Southampton,29,", AM(CLR)",19,1716,1.1,0.4,0.8,0,0.7,1,0.1,0,6.66,11
3,Neal Maupay,211,Brighton,25,", AM(C),FW",30,2770,0.5,0.1,1,0,0.2,0.5,0,0,6.66,7
4,Adam Masina,27,Watford,27,", D(L),M(L)",20,1819,1.5,1.1,1,0.2,2.3,0.9,0.5,0,6.66,6
5,Gylfi Sigurdsson,31,Everton,32,", M(CLR),FW",28,2595,1.4,1.1,1,0,0.4,1.5,0.1,0,6.65,7
6,Pascal Groß,211,Brighton,30,", M(CR),FW",22,1804,1.2,0.3,0.8,0,0.2,0.9,0.1,1,6.65,7
7,Bukayo Saka,13,Arsenal,20,", D(L),M(CLR)",19,1755,1.4,0.5,0.8,0.3,0.4,0.7,0.1,0,6.65,7
8,Davy Pröpper,211,Brighton,30,", M(C)",32,2830,1.8,1.1,0.9,0,0.9,1.5,0.2,0,6.65,3
9,Dale Stephens,211,Brighton,32,", M(C)",28,2529,2.2,1.8,1.3,0,1.2,1.5,0.3,0,6.65,5
