,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
6,Djibril Sidibé,31,Everton,18,1851,0,4,3,0,0.5,78.6,1.2,1,6.92,7
7,Scott McTominay,32,Man Utd,20,1772,4,1,2,0,1.1,80.9,1.6,2,6.92,7
8,Phil Bardsley,184,Burnley,21,1890,0,1,6,0,0.5,66.1,1.8,0,6.92,0
9,Mason Mount,15,Chelsea,32,2875,7,5,3,0,2.1,85.7,0.3,2,6.91,5
0,Kurt Zouma,15,Chelsea,25,2344,0,0,6,0,0.5,88.5,3.8,1,6.91,3
1,Etienne Capoue,27,Watford,30,2632,0,3,8,0,0.6,81.3,1.6,1,6.91,0
2,Tammy Abraham,15,Chelsea,25,2221,15,3,2,0,2.6,66.8,2.6,4,6.91,9
3,Kyle Walker,167,Man City,28,2398,1,4,5,0,0.5,88.6,1,0,6.90,1
4,Reece James,15,Chelsea,16,1514,0,2,1,0,0.8,85.9,1.5,1,6.90,8
5,Jonny Evans,14,Leicester,38,3386,1,1,8,1,0.6,86.8,3.3,0,6.90,0
6,N'Golo Kanté,15,Chelsea,20,1733,3,0,4,0,0.8,84.9,0.9,0,6.90,2
7,Gerard Deulofeu,27,Watford,25,2109,4,5,3,0,2.3,80.2,0,3,6.90,3
8,Philip Billing,183,Bournemouth,29,2536,1,1,8,0,1,74.8,3.3,1,6.90,5
9,Dan Burn,211,Brighton,33,2881,0,0,5,0,0.4,74.1,4.1,2,6.90,1
0,Lewis Dunk,211,Brighton,36,3231,3,3,9,0,0.9,87,2.8,1,6.89,0
1,Frédéric Guilbert,24,Aston Villa,22,2041,0,2,7,0,0.3,68.9,1.9,1,6.89,3
2,Oliver McBurnie,163,Sheff Utd,24,2121,6,0,4,0,1.4,60.5,5.6,2,6.89,12
3,Fabinho,26,Liverpool,22,2075,2,3,6,0,0.4,87,1.5,1,6.89,6
4,Romain Saïss,161,Wolves,31,2706,2,1,10,1,0.7,78.4,3.6,1,6.88,2
5,Charlie Taylor,184,Burnley,22,1946,0,1,3,0,0,68.7,1.9,0,6.88,2
6,Bernd Leno,13,Arsenal,30,2650,0,0,2,0,0,72.3,0.3,1,6.88,0
7,Youri Tielemans,14,Leicester,32,2834,3,6,2,0,1.5,83,0.7,1,6.88,5
8,Ben Mee,184,Burnley,32,2880,1,1,7,0,0.5,71.4,4.1,1,6.88,0
9,Fred,32,Man Utd,23,2189,0,0,8,0,1.4,87.5,0.3,0,6.87,6
0,Dele Alli,30,Tottenham,21,1854,8,4,2,0,1.7,76.3,0.8,1,6.87,4
1,Dominic Calvert-Lewin,31,Everton,30,2660,13,1,9,0,2.4,64,5,2,6.87,6
2,John Fleck,163,Sheff Utd,28,2518,5,2,8,0,1,80.3,0.5,2,6.86,2
3,Phil Foden,167,Man City,9,893,5,2,0,0,1.5,88.5,0.4,2,6.86,14
